date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:40:39	354838/354838	---M--	200	added ('OK')	image/png	etag:%22565878b3-56a16%22	http://tavern-html.axiomthemes.com/images/slider-1-slide-3-left-bottom.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/slider-1-slide-3-left-bottom.png	(from http://tavern-html.axiomthemes.com/)
09:40:50	85577/85577	---M--	200	added ('OK')	image/png	etag:%2256587896-14e49%22	http://tavern-html.axiomthemes.com/images/beer-2.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/beer-2.png	(from http://tavern-html.axiomthemes.com/)
09:40:50	88598/88598	---M--	200	added ('OK')	image/png	etag:%225658787e-15a16%22	http://tavern-html.axiomthemes.com/images/beer-1.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/beer-1.png	(from http://tavern-html.axiomthemes.com/)
09:40:51	1167/1167	---M--	200	added ('OK')	image/png	etag:%2256587872-48f%22	http://tavern-html.axiomthemes.com/images/tavern-menu-styling1.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/tavern-menu-styling1.png	(from http://tavern-html.axiomthemes.com/)
09:40:51	606/606	---M--	200	added ('OK')	image/png	etag:%225658788e-25e%22	http://tavern-html.axiomthemes.com/images/tavern-menu-styling2.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/tavern-menu-styling2.png	(from http://tavern-html.axiomthemes.com/)
09:40:51	998/998	---M--	200	added ('OK')	image/png	etag:%225658788e-3e6%22	http://tavern-html.axiomthemes.com/images/tavern-menu-styling3.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/tavern-menu-styling3.png	(from http://tavern-html.axiomthemes.com/)
09:40:52	1122/1122	---M--	200	added ('OK')	image/png	etag:%2256587872-462%22	http://tavern-html.axiomthemes.com/images/tavern-menu-styling4.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/tavern-menu-styling4.png	(from http://tavern-html.axiomthemes.com/)
09:40:52	1013/1013	---M--	200	added ('OK')	image/png	etag:%2256587874-3f5%22	http://tavern-html.axiomthemes.com/images/tavern-menu-styling5.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/tavern-menu-styling5.png	(from http://tavern-html.axiomthemes.com/)
09:40:54	89094/89094	---M--	200	added ('OK')	image/png	etag:%225658789e-15c06%22	http://tavern-html.axiomthemes.com/images/beer-3.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/beer-3.png	(from http://tavern-html.axiomthemes.com/)
09:40:57	26129/26129	---M--	200	added ('OK')	image/jpeg	etag:%225658789d-6611%22	http://tavern-html.axiomthemes.com/images/team2-350x350.jpg	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/team2-350x350.jpg	(from http://tavern-html.axiomthemes.com/)
09:40:58	26217/26217	---M--	200	added ('OK')	image/jpeg	etag:%22565878c3-6669%22	http://tavern-html.axiomthemes.com/images/team1-350x350.jpg	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/team1-350x350.jpg	(from http://tavern-html.axiomthemes.com/)
09:40:59	5154/5154	---M--	200	added ('OK')	image/png	etag:%225658789e-1422%22	http://tavern-html.axiomthemes.com/images/logo-footer.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/logo-footer.png	(from http://tavern-html.axiomthemes.com/)
